Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks,Authority,Hub
8123,5553,,1,Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher,None,194,23.554545,3,0.603119,11291,0,0.11219,0.000055,0.006143,0.006143
8131,24,,1,In a Sunburned Country,None,778,47.554067,0,0.473855,143224,0,0.433165,0.000094,0.023822,0.023822
8132,880,,1,Pompeii,None,385,28.256015,0,0.62063,45877,0,0.245387,0.00006,0.013519,0.013519
8135,10692,,1,The Historian,None,1209,78.419755,0,0.40201,293562,0,0.629016,0.000178,0.034639,0.034639
8145,853201,,1,Inside the Third Reich,None,213,25.4,3,0.626052,14135,0,0.124264,0.000043,0.006824,0.006824
8148,14318,,1,Chronicles: Volume One,None,702,43.496623,2,0.506488,124622,0,0.404753,0.000076,0.022278,0.022278
8156,14935,,1,Sense and Sensibility,None,1892,231.280757,1,0.285658,511009,0,0.850696,0.000501,0.046724,0.046724
8162,184419,,1,The Man Who Was Thursday: A Nightmare,None,330,38.9,2,0.592079,32141,0,0.198639,0.000062,0.010936,0.010936
8164,39286958,,1,Measure What Matters,None,248,29.085897,3,0.59697,18284,0,0.1376,0.000054,0.007509,0.007509
8167,243601,,1,"Imperium: A Novel of Ancient Rome (Cicero, #1)",None,207,22.418182,0,0.663571,14148,0,0.130885,0.000055,0.007205,0.007205
8168,88061,,1,Dreams from My Father: A Story of Race and Inheritance,None,1040,63.960385,3,0.381411,206069,0,0.519782,0.000127,0.028533,0.028533
8172,182496,,1,Evergreen,None,375,40.038241,1,0.724364,50796,0,0.257236,0.000076,0.014191,0.014191
8179,1713426,,1,Predictably Irrational: The Hidden Forces That Shape Our Decisions,None,758,45.178699,3,0.444516,127533,0,0.403993,0.000079,0.02215,0.02215
8183,386187,,1,Midnight in the Garden of Good and Evil,None,1381,102.322678,0,0.367834,350505,0,0.690062,0.000215,0.037957,0.037957
8184,333538,,1,The Castle,None,543,45.930685,2,0.558432,82175,0,0.323271,0.000062,0.017819,0.017819
8197,171547,,1,Songs of Innocence and of Experience,None,570,50.819856,2,0.602701,97737,0,0.356518,0.000077,0.019662,0.019662
8199,292408,,1,Angle of Repose,None,601,49.38882,0,0.593733,107050,0,0.37413,0.000085,0.02063,0.02063
8202,522525,,1,"Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts",None,249,16.739699,3,0.483839,14939,0,0.125501,0.000042,0.006834,0.006834
