,count_0,count_1,count_2,count_3,count_4,count_all
Adventure and adventurers,0.000000,0.051282,0.000000,0.358974,0.589744,39.000000
Graphic novels,0.026316,0.289474,0.000000,0.263158,0.421053,38.000000
Children's stories,0.000000,0.078947,0.000000,0.710526,0.210526,38.000000
Sisters,0.026316,0.026316,0.421053,0.342105,0.184211,38.000000
Translations into English,0.000000,0.027027,0.027027,0.837838,0.108108,37.000000
New York (N.Y.),0.081081,0.000000,0.405405,0.108108,0.405405,37.000000
Paranormal fiction,0.081081,0.054054,0.000000,0.054054,0.810811,37.000000
Adventure stories,0.138889,0.111111,0.000000,0.444444,0.305556,36.000000
Conduct of life,0.000000,0.000000,0.228571,0.542857,0.228571,35.000000
Readers,0.028571,0.085714,0.000000,0.885714,0.000000,35.000000
Mystery fiction,0.200000,0.000000,0.342857,0.228571,0.228571,35.000000
Suspense,0.558824,0.029412,0.264706,0.088235,0.058824,34.000000
FICTION,0.029412,0.029412,0.588235,0.264706,0.088235,34.000000
Horror,0.529412,0.088235,0.029412,0.205882,0.147059,34.000000
Social conditions,0.000000,0.000000,0.294118,0.705882,0.000000,34.000000
Science Fiction,0.090909,0.545455,0.030303,0.242424,0.090909,33.000000
Teenagers,0.031250,0.062500,0.218750,0.156250,0.531250,32.000000
Young adult fiction,0.000000,0.062500,0.062500,0.062500,0.812500,32.000000
Married people,0.000000,0.064516,0.387097,0.451613,0.096774,31.000000
Manners and customs,0.064516,0.000000,0.129032,0.774194,0.032258,31.000000
Spanish language materials,0.000000,0.000000,0.033333,0.900000,0.066667,30.000000
Literary,0.000000,0.000000,0.633333,0.333333,0.033333,30.000000
Police,0.466667,0.000000,0.300000,0.100000,0.133333,30.000000
Missing persons,0.172414,0.310345,0.310345,0.068966,0.137931,29.000000
Brothers,0.068966,0.103448,0.275862,0.206897,0.344828,29.000000
Fathers and sons,0.034483,0.068966,0.275862,0.448276,0.172414,29.000000
Criticism and interpretation,0.000000,0.000000,0.000000,1.000000,0.000000,29.000000
Psychology,0.034483,0.000000,0.310345,0.655172,0.000000,29.000000
Secrets,0.035714,0.071429,0.142857,0.071429,0.678571,28.000000
General,0.000000,0.107143,0.357143,0.357143,0.178571,28.000000
Massachusetts,0.357143,0.000000,0.250000,0.392857,0.000000,28.000000
Horror stories,0.071429,0.035714,0.000000,0.428571,0.464286,28.000000
Americans,0.178571,0.000000,0.285714,0.392857,0.142857,28.000000
Mystery,0.642857,0.000000,0.107143,0.178571,0.071429,28.000000
