Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Authority,Hub,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
2193,32796253,,1,Final Girls,None,0,256,0,8.344343,0.270247,0.537163,17533,0.020108,0.020108,0.000824,3,0.547557,0.58708,213.778525
2194,2120652,,1,Love the One You're With,None,1,310,0,6.56511,0.345437,0.527028,25242,0.025728,0.025728,0.000698,3,0.558175,0.605132,314.635175
2198,18619684,,1,The Time Traveler's Wife,None,1,950,0,7.45802,0.834828,0.29349,132298,0.061955,0.061955,0.000757,2,0.739174,0.823569,6821.187207
2199,17802747,,1,What She Left Behind,None,0,284,0,7.206065,0.349906,0.628925,25274,0.026135,0.026135,0.000721,3,0.553127,0.596503,140.179088
2209,38503833,,1,A Curve in the Road,None,3,238,0,8.473903,0.207549,0.404425,11406,0.015209,0.015209,0.000929,2,0.544107,0.581063,509.393291
2210,35458733,,1,The Silent Companions,None,4,208,0,6.727985,0.221023,0.537579,11573,0.016465,0.016465,0.000715,3,0.537926,0.570731,135.792177
2215,42583886,,1,Where the Crawdads Sing,None,3,170,0,4.682744,0.181834,0.524608,7536,0.013484,0.013484,0.000604,3,0.530538,0.557788,245.141149
2217,13261812,,1,Gone Girl,None,3,234,0,4.407561,0.186599,0.335681,9151,0.013616,0.013616,0.000587,2,0.543301,0.5797,758.239155
2220,17262155,,1,"Mad About the Boy (Bridget Jones, #3)",None,1,94,0,2.125011,0.110893,0.611073,2671,0.008243,0.008243,0.000308,3,0.515449,0.531335,26.884158
2221,34311458,,1,"Year One (Chronicles of the One, #1)",None,3,99,0,3.900636,0.058438,0.370851,1799,0.004178,0.004178,0.000504,3,0.516719,0.533265,140.504957
2223,35522836,,1,No Exit,None,0,260,0,7.626565,0.26233,0.50003,16836,0.019433,0.019433,0.000785,2,0.54858,0.588556,732.978161
2228,207035,,1,The Time Traveler's Wife,None,1,102,0,2.111138,0.12169,0.660454,3402,0.009055,0.009055,0.000307,3,0.515812,0.533379,27.005548
2231,29981261,,1,"The Butterfly Garden (The Collector, #1)",None,3,511,0,7.96336,0.457782,0.345589,45032,0.03372,0.03372,0.00086,2,0.605361,0.674046,2829.763967
2239,4692,,1,"The Physician (Cole Family Trilogy, #1)",None,1,85,0,1.844944,0.087746,0.60112,2146,0.006516,0.006516,0.000283,3,0.512391,0.527361,22.118196
2244,30288282,,1,The Immortalists,None,4,573,0,14.065961,0.590429,0.42993,70456,0.044051,0.044051,0.001318,3,0.620981,0.69505,1227.278264
2245,31300946,,1,The Girl Before,None,3,39,0,1.272966,0.01986,0.319838,237,0.001412,0.001412,0.000275,3,0.503948,0.511467,50.67802
2246,10428902,,1,"Miss Peregrine's Home For Peculiar Children (Miss Peregrine's Peculiar Children, #1)",None,3,60,0,1.384562,0.064962,0.578531,1024,0.004797,0.004797,0.000243,3,0.510254,0.520322,14.033337
2249,4666058,,1,The Guernsey Literary and Potato Peel Pie Society,None,4,127,0,2.736561,0.170533,0.730659,5846,0.012722,0.012722,0.000348,3,0.521677,0.542688,20.44138
2250,13510287,,1,Wonder,None,3,210,0,4.714884,0.229969,0.51424,11285,0.017033,0.017033,0.000547,2,0.538518,0.571526,165.579201
2252,34873254,,1,Her Last Goodbye (Morgan Dane #2),None,3,78,0,4.9843,0.035624,0.473859,1423,0.002467,0.002467,0.000619,3,0.512391,0.525772,63.8969
2256,18465657,,1,The One &#38; Only,None,0,301,0,9.162028,0.339853,0.56031,25298,0.025331,0.025331,0.000889,3,0.556904,0.602407,299.706577
2257,36572093,,1,The Retreat,None,3,42,0,1.811126,0.02021,0.371661,320,0.001421,0.001421,0.000308,3,0.49915,0.508969,42.790303
2259,22686,,1,The Other Woman,None,1,127,0,4.665467,0.136587,0.640795,5127,0.010138,0.010138,0.000556,3,0.521492,0.542575,37.275543
2268,36373481,,1,The Death of Mrs. Westaway,None,0,606,0,19.262396,0.62584,0.431301,79064,0.046694,0.046694,0.001719,2,0.630043,0.706403,1239.909727
2269,18144115,,1,All Fall Down,None,0,237,0,7.177177,0.282571,0.611779,17109,0.021091,0.021091,0.00072,3,0.543301,0.580381,113.719793
2280,22571552,,1,So You've Been Publicly Shamed,None,4,160,0,3.397316,0.191915,0.610613,7767,0.014301,0.014301,0.000417,3,0.527299,0.553588,62.375046
2289,11925514,,1,Code Name Verity,None,4,243,0,4.117253,0.294428,0.594395,17477,0.021962,0.021962,0.000477,3,0.544712,0.582539,153.258105
2290,17166225,,1,The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life: Before 8AM,None,3,40,0,1.044372,0.028613,0.311538,243,0.00208,0.00208,0.000225,3,0.504988,0.512375,48.809531
2291,5971165,,1,"The White Queen (The Plantagenet and Tudor Novels, #2; The Cousins War #1)",None,1,412,0,7.091214,0.426146,0.442799,37490,0.031688,0.031688,0.000761,2,0.581616,0.640327,793.123238
2294,36337550,,1,The 7&#189; Deaths of Evelyn Hardcastle,None,4,235,0,5.576292,0.267483,0.556283,15295,0.019962,0.019962,0.000593,3,0.543301,0.579927,139.372702
2299,22889767,,1,Better Than Before: Mastering the Habits of Our Everyday Lives,None,0,210,0,6.002995,0.238338,0.577261,12668,0.017775,0.017775,0.000639,3,0.537926,0.571185,126.275403
2301,34806691,,1,Then She Was Gone,None,0,167,0,5.819901,0.190404,0.621095,8609,0.014175,0.014175,0.000596,3,0.529964,0.556767,75.783473
2310,22663563,,1,The Nightingale,None,3,478,0,7.263506,0.439661,0.357394,40744,0.032455,0.032455,0.000793,2,0.597234,0.662807,1855.462261
2314,12394068,,1,A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,None,0,167,0,4.118232,0.196985,0.609191,8444,0.014678,0.014678,0.000478,3,0.528438,0.555858,80.814878
2328,18667976,,1,The Secret Life of Violet Grant (Schuyler Sisters #1),None,0,345,0,10.997311,0.385014,0.537209,31878,0.028726,0.028726,0.001047,2,0.566577,0.617507,311.208335
2336,31443398,,1,The Perfect Stranger,None,0,143,0,4.930063,0.156192,0.625825,6354,0.011635,0.011635,0.000526,3,0.524848,0.548252,49.989953
2341,95420,,1,Personal History,None,1,112,0,2.425027,0.142228,0.734556,4566,0.010602,0.010602,0.000318,3,0.518545,0.537352,22.712017
2345,588369,,1,A Place Called Here,None,1,58,0,1.738995,0.054478,0.566243,936,0.004026,0.004026,0.000285,3,0.505684,0.516916,18.059576
2347,20603758,,1,Ready Player One,None,3,163,0,2.570814,0.144479,0.389078,5137,0.010607,0.010607,0.000384,2,0.529391,0.555518,287.678055
2355,7439970,,1,The Handmaid's Tale,None,4,53,0,1.328289,0.052173,0.558781,770,0.003869,0.003869,0.000245,3,0.504814,0.515213,33.613577
2357,41021501,,1,Small Great Things,None,2,537,0,11.341432,0.561396,0.431967,62167,0.041816,0.041816,0.001096,3,0.611667,0.682788,1252.312863
2360,20912424,,1,"The War That Saved My Life (The War That Saved My Life, #1)",None,0,343,0,7.479701,0.388223,0.532419,31228,0.028977,0.028977,0.000753,3,0.565921,0.616712,314.71447
2363,6584437,,1,"A Clash of Kings (A Song of Ice and Fire, #2)",None,3,142,0,4.85272,0.117717,0.375986,3764,0.008626,0.008626,0.000628,2,0.525412,0.548365,196.386088
2368,42421761,,1,Where the Crawdads Sing,None,3,461,0,7.192199,0.426707,0.363982,38593,0.031499,0.031499,0.000782,2,0.593131,0.657016,1895.691248
2370,18144590,,1,The Alchemist,None,4,210,0,2.695713,0.269434,0.682297,14973,0.020118,0.020118,0.000339,3,0.537926,0.571185,73.855988
2377,15776309,,1,Reconstructing Amelia,None,1,518,0,11.363858,0.547581,0.449467,60185,0.040808,0.040808,0.001087,2,0.607113,0.676431,942.572064
2385,17252041,,1,"Inferno (Robert Langdon, #4)",None,3,191,0,4.618204,0.141731,0.35547,6450,0.010267,0.010267,0.000604,2,0.534791,0.565054,540.33311
2386,39904267,,1,True Places,None,3,146,0,6.196329,0.116737,0.441285,4671,0.008498,0.008498,0.000706,2,0.526165,0.549728,192.987607
2389,39948633,,1,Where the Crawdads Sing,None,3,222,0,5.811365,0.251091,0.552403,13551,0.018656,0.018656,0.000636,3,0.540501,0.575386,196.521552
2392,35488858,,1,"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store",None,4,135,0,3.179757,0.167131,0.669873,6059,0.012469,0.012469,0.000384,3,0.523165,0.545413,33.505994
2394,84979,,1,Pride and Prejudice,None,1,115,0,2.337623,0.141262,0.64897,4254,0.010502,0.010502,0.00033,3,0.519646,0.538715,39.669888
2400,5886881,,1,Dark Places,None,1,871,0,10.298561,0.790663,0.315515,119544,0.058749,0.058749,0.000997,2,0.710896,0.796662,4920.717424
2403,43984444,,1,"The Night Fire (Ren&#233;e Ballard, #3; Harry Bosch Universe, #32)",None,3,53,0,2.856692,0.024682,0.445573,614,0.001725,0.001725,0.000406,3,0.496953,0.509991,37.524727
2412,40873273,,1,Snow Flower and the Secret Fan,None,0,148,0,3.688955,0.183101,0.620151,6746,0.013632,0.013632,0.000431,3,0.526165,0.550182,53.367495
2413,1379961,,1,People of the Book,None,1,433,0,8.566551,0.457724,0.469089,43873,0.034103,0.034103,0.000866,2,0.586496,0.64748,622.030519
2418,33127216,,1,Dead Certain,None,3,109,0,4.483909,0.061969,0.448692,2641,0.004386,0.004386,0.000572,2,0.519278,0.537125,123.768232
2423,12961964,,1,The Handmaid's Tale,None,3,315,0,5.705798,0.279365,0.370296,18313,0.020498,0.020498,0.00067,2,0.560092,0.607289,1009.527336
2424,11710373,,1,"Written in My Own Heart's Blood (Outlander, #8)",None,1,389,0,9.074862,0.419463,0.483847,36514,0.031243,0.031243,0.000915,2,0.576364,0.632493,566.841089
2427,26827675,,1,Troublemaker: Surviving Hollywood and Scientology,None,3,304,0,6.802305,0.319505,0.461873,21272,0.023702,0.023702,0.000726,2,0.557751,0.603542,520.20428
2428,1241,,1,A Million Little Pieces,None,1,398,0,5.415176,0.431462,0.481425,38034,0.032139,0.032139,0.000588,3,0.577953,0.635332,859.478572
2429,82747,,1," Angels (Walsh Family, #3)",None,1,120,0,3.510669,0.128145,0.612185,4371,0.009504,0.009504,0.000456,3,0.519278,0.539623,49.641991
2446,25953369,,1,Hidden Figures,None,0,262,0,4.50605,0.31666,0.590886,20203,0.023637,0.023637,0.000503,3,0.548375,0.588896,149.738389
